
Training starting on: 08/02/2025, 03:02:13


INFO:root:--------------------------------------------------
INFO:root:total_blocks : 12
INFO:root:adapters_per_block : 1
INFO:root:current_task : 0
INFO:root:total_temporal_adapters : 12
INFO:root:total_spatial_adapters : 12
INFO:root:total_classifiers : 1
INFO:root:total_adapters : 24
INFO:root:total_params : 53137925
INFO:root:--------------------------------------------------
INFO:root:Epoch 0 - Average Loss: 1.5552, Average Accuracy: 0.3203, Samples: 693
INFO:root:Evaluation Epoch 0 - Average Loss: 1.5558, Average Accuracy: 0.3043, Samples: 115
INFO:root:Epoch 1 - Average Loss: 1.5073, Average Accuracy: 0.3737, Samples: 693
INFO:root:Evaluation Epoch 1 - Average Loss: 1.5212, Average Accuracy: 0.3130, Samples: 115
INFO:root:Epoch 2 - Average Loss: 1.4546, Average Accuracy: 0.4646, Samples: 693
INFO:root:Evaluation Epoch 2 - Average Loss: 1.4532, Average Accuracy: 0.4609, Samples: 115
INFO:root:Epoch 3 - Average Loss: 1.4157, Average Accuracy: 0.4733, Samples: 693
INFO:root:Evaluation Epoch 3 - Average Loss: 1.4261, Average Accuracy: 0.4435, Samples: 115
INFO:root:Epoch 4 - Average Loss: 1.3820, Average Accuracy: 0.5195, Samples: 693
INFO:root:Evaluation Epoch 4 - Average Loss: 1.4162, Average Accuracy: 0.4609, Samples: 115
INFO:root:Epoch 5 - Average Loss: 1.3559, Average Accuracy: 0.5483, Samples: 693
INFO:root:Evaluation Epoch 5 - Average Loss: 1.3598, Average Accuracy: 0.5739, Samples: 115
INFO:root:Epoch 6 - Average Loss: 1.3254, Average Accuracy: 0.5902, Samples: 693
INFO:root:Evaluation Epoch 6 - Average Loss: 1.3521, Average Accuracy: 0.5652, Samples: 115
INFO:root:Epoch 7 - Average Loss: 1.2895, Average Accuracy: 0.6277, Samples: 693
INFO:root:Evaluation Epoch 7 - Average Loss: 1.3246, Average Accuracy: 0.6000, Samples: 115
INFO:root:Epoch 8 - Average Loss: 1.2557, Average Accuracy: 0.6638, Samples: 693
INFO:root:Evaluation Epoch 8 - Average Loss: 1.2859, Average Accuracy: 0.6174, Samples: 115
INFO:root:Epoch 9 - Average Loss: 1.2322, Average Accuracy: 0.6898, Samples: 693
INFO:root:Evaluation Epoch 9 - Average Loss: 1.2632, Average Accuracy: 0.6609, Samples: 115
INFO:root:Epoch 10 - Average Loss: 1.2115, Average Accuracy: 0.7027, Samples: 693
INFO:root:Evaluation Epoch 10 - Average Loss: 1.2535, Average Accuracy: 0.6609, Samples: 115
INFO:root:Epoch 11 - Average Loss: 1.2069, Average Accuracy: 0.6970, Samples: 693
INFO:root:Evaluation Epoch 11 - Average Loss: 1.2721, Average Accuracy: 0.6261, Samples: 115
INFO:root:Epoch 12 - Average Loss: 1.1823, Average Accuracy: 0.7345, Samples: 693
INFO:root:Evaluation Epoch 12 - Average Loss: 1.2089, Average Accuracy: 0.7043, Samples: 115
INFO:root:Epoch 13 - Average Loss: 1.1788, Average Accuracy: 0.7316, Samples: 693
INFO:root:Evaluation Epoch 13 - Average Loss: 1.2000, Average Accuracy: 0.7130, Samples: 115
INFO:root:Epoch 14 - Average Loss: 1.1548, Average Accuracy: 0.7561, Samples: 693
INFO:root:Evaluation Epoch 14 - Average Loss: 1.1854, Average Accuracy: 0.7217, Samples: 115
INFO:root:Epoch 15 - Average Loss: 1.1375, Average Accuracy: 0.7734, Samples: 693
INFO:root:Evaluation Epoch 15 - Average Loss: 1.1720, Average Accuracy: 0.7304, Samples: 115
INFO:root:Epoch 16 - Average Loss: 1.1207, Average Accuracy: 0.7922, Samples: 693
INFO:root:Evaluation Epoch 16 - Average Loss: 1.1896, Average Accuracy: 0.7304, Samples: 115
INFO:root:Epoch 17 - Average Loss: 1.1145, Average Accuracy: 0.7937, Samples: 693
INFO:root:Evaluation Epoch 17 - Average Loss: 1.1552, Average Accuracy: 0.7565, Samples: 115
INFO:root:Epoch 18 - Average Loss: 1.1005, Average Accuracy: 0.8095, Samples: 693
INFO:root:Evaluation Epoch 18 - Average Loss: 1.1788, Average Accuracy: 0.7130, Samples: 115
INFO:root:Epoch 19 - Average Loss: 1.1013, Average Accuracy: 0.8023, Samples: 693
INFO:root:Evaluation Epoch 19 - Average Loss: 1.1480, Average Accuracy: 0.7565, Samples: 115
INFO:root:Epoch 20 - Average Loss: 1.0789, Average Accuracy: 0.8369, Samples: 693
INFO:root:Evaluation Epoch 20 - Average Loss: 1.1439, Average Accuracy: 0.7565, Samples: 115
INFO:root:Epoch 21 - Average Loss: 1.0652, Average Accuracy: 0.8384, Samples: 693
INFO:root:Evaluation Epoch 21 - Average Loss: 1.1229, Average Accuracy: 0.7826, Samples: 115
INFO:root:Epoch 22 - Average Loss: 1.0560, Average Accuracy: 0.8499, Samples: 693
INFO:root:Evaluation Epoch 22 - Average Loss: 1.1188, Average Accuracy: 0.7913, Samples: 115
INFO:root:Epoch 23 - Average Loss: 1.0503, Average Accuracy: 0.8571, Samples: 693
INFO:root:Evaluation Epoch 23 - Average Loss: 1.1170, Average Accuracy: 0.7913, Samples: 115
INFO:root:Epoch 24 - Average Loss: 1.0529, Average Accuracy: 0.8586, Samples: 693
INFO:root:Evaluation Epoch 24 - Average Loss: 1.1049, Average Accuracy: 0.8087, Samples: 115
INFO:root:Epoch 25 - Average Loss: 1.0407, Average Accuracy: 0.8644, Samples: 693
INFO:root:Evaluation Epoch 25 - Average Loss: 1.1202, Average Accuracy: 0.7913, Samples: 115
INFO:root:Epoch 26 - Average Loss: 1.0356, Average Accuracy: 0.8745, Samples: 693
INFO:root:Evaluation Epoch 26 - Average Loss: 1.1005, Average Accuracy: 0.8087, Samples: 115
INFO:root:Epoch 27 - Average Loss: 1.0339, Average Accuracy: 0.8687, Samples: 693
INFO:root:Evaluation Epoch 27 - Average Loss: 1.1059, Average Accuracy: 0.7913, Samples: 115
INFO:root:Epoch 28 - Average Loss: 1.0274, Average Accuracy: 0.8759, Samples: 693
INFO:root:Evaluation Epoch 28 - Average Loss: 1.0863, Average Accuracy: 0.8174, Samples: 115
INFO:root:Epoch 29 - Average Loss: 1.0330, Average Accuracy: 0.8730, Samples: 693
INFO:root:Evaluation Epoch 29 - Average Loss: 1.1256, Average Accuracy: 0.7826, Samples: 115
INFO:root:Epoch 30 - Average Loss: 1.0244, Average Accuracy: 0.8817, Samples: 693
INFO:root:Evaluation Epoch 30 - Average Loss: 1.0940, Average Accuracy: 0.8174, Samples: 115
INFO:root:Epoch 31 - Average Loss: 1.0250, Average Accuracy: 0.8788, Samples: 693
INFO:root:Evaluation Epoch 31 - Average Loss: 1.0991, Average Accuracy: 0.8087, Samples: 115
INFO:root:Epoch 32 - Average Loss: 1.0266, Average Accuracy: 0.8802, Samples: 693
INFO:root:Evaluation Epoch 32 - Average Loss: 1.0627, Average Accuracy: 0.8435, Samples: 115
INFO:root:Epoch 33 - Average Loss: 1.0154, Average Accuracy: 0.8874, Samples: 693
INFO:root:Evaluation Epoch 33 - Average Loss: 1.0706, Average Accuracy: 0.8348, Samples: 115
INFO:root:Epoch 34 - Average Loss: 1.0151, Average Accuracy: 0.8918, Samples: 693
INFO:root:Evaluation Epoch 34 - Average Loss: 1.0773, Average Accuracy: 0.8261, Samples: 115
INFO:root:Epoch 35 - Average Loss: 1.0173, Average Accuracy: 0.8874, Samples: 693
INFO:root:Evaluation Epoch 35 - Average Loss: 1.0624, Average Accuracy: 0.8435, Samples: 115
INFO:root:Epoch 36 - Average Loss: 1.0101, Average Accuracy: 0.8961, Samples: 693
INFO:root:Evaluation Epoch 36 - Average Loss: 1.0505, Average Accuracy: 0.8609, Samples: 115
INFO:root:Epoch 37 - Average Loss: 1.0087, Average Accuracy: 0.8961, Samples: 693
INFO:root:Evaluation Epoch 37 - Average Loss: 1.0742, Average Accuracy: 0.8261, Samples: 115
INFO:root:Epoch 38 - Average Loss: 1.0033, Average Accuracy: 0.8990, Samples: 693
INFO:root:Evaluation Epoch 38 - Average Loss: 1.0622, Average Accuracy: 0.8435, Samples: 115
INFO:root:Epoch 39 - Average Loss: 1.0000, Average Accuracy: 0.9048, Samples: 693
INFO:root:Evaluation Epoch 39 - Average Loss: 1.0550, Average Accuracy: 0.8522, Samples: 115
INFO:root:Epoch 40 - Average Loss: 1.0023, Average Accuracy: 0.9033, Samples: 693
INFO:root:Evaluation Epoch 40 - Average Loss: 1.0570, Average Accuracy: 0.8522, Samples: 115
INFO:root:Epoch 41 - Average Loss: 0.9960, Average Accuracy: 0.9091, Samples: 693
INFO:root:Evaluation Epoch 41 - Average Loss: 1.0614, Average Accuracy: 0.8261, Samples: 115
INFO:root:Epoch 42 - Average Loss: 1.0070, Average Accuracy: 0.8961, Samples: 693
INFO:root:Evaluation Epoch 42 - Average Loss: 1.0542, Average Accuracy: 0.8435, Samples: 115
INFO:root:Epoch 43 - Average Loss: 0.9977, Average Accuracy: 0.9048, Samples: 693
INFO:root:Evaluation Epoch 43 - Average Loss: 1.0618, Average Accuracy: 0.8348, Samples: 115
INFO:root:Epoch 44 - Average Loss: 0.9948, Average Accuracy: 0.9091, Samples: 693
INFO:root:Evaluation Epoch 44 - Average Loss: 1.0592, Average Accuracy: 0.8348, Samples: 115
INFO:root:Epoch 45 - Average Loss: 0.9975, Average Accuracy: 0.9062, Samples: 693
INFO:root:Evaluation Epoch 45 - Average Loss: 1.0746, Average Accuracy: 0.8261, Samples: 115
INFO:root:Epoch 46 - Average Loss: 0.9996, Average Accuracy: 0.9019, Samples: 693
INFO:root:Evaluation Epoch 46 - Average Loss: 1.0524, Average Accuracy: 0.8435, Samples: 115
INFO:root:Epoch 47 - Average Loss: 0.9942, Average Accuracy: 0.9105, Samples: 693
INFO:root:Evaluation Epoch 47 - Average Loss: 1.0543, Average Accuracy: 0.8522, Samples: 115
INFO:root:Epoch 48 - Average Loss: 0.9917, Average Accuracy: 0.9120, Samples: 693
INFO:root:Evaluation Epoch 48 - Average Loss: 1.0499, Average Accuracy: 0.8522, Samples: 115
INFO:root:Epoch 49 - Average Loss: 0.9912, Average Accuracy: 0.9120, Samples: 693
INFO:root:Evaluation Epoch 49 - Average Loss: 1.0509, Average Accuracy: 0.8435, Samples: 115
INFO:root:Epoch 50 - Average Loss: 1.0021, Average Accuracy: 0.9019, Samples: 693
INFO:root:Evaluation Epoch 50 - Average Loss: 1.0397, Average Accuracy: 0.8696, Samples: 115
INFO:root:Epoch 51 - Average Loss: 0.9933, Average Accuracy: 0.9105, Samples: 693
INFO:root:Evaluation Epoch 51 - Average Loss: 1.0474, Average Accuracy: 0.8609, Samples: 115
INFO:root:Epoch 52 - Average Loss: 0.9953, Average Accuracy: 0.9076, Samples: 693
INFO:root:Evaluation Epoch 52 - Average Loss: 1.0528, Average Accuracy: 0.8522, Samples: 115
INFO:root:Epoch 53 - Average Loss: 0.9967, Average Accuracy: 0.9062, Samples: 693
INFO:root:Evaluation Epoch 53 - Average Loss: 1.0469, Average Accuracy: 0.8522, Samples: 115
INFO:root:Epoch 54 - Average Loss: 0.9923, Average Accuracy: 0.9120, Samples: 693
INFO:root:Evaluation Epoch 54 - Average Loss: 1.0617, Average Accuracy: 0.8435, Samples: 115
INFO:root:Epoch 55 - Average Loss: 0.9955, Average Accuracy: 0.9091, Samples: 693
INFO:root:Evaluation Epoch 55 - Average Loss: 1.0565, Average Accuracy: 0.8435, Samples: 115
